Test,Value,Num DF,Den DF,F Value,Pr > F
Hotelling-Lawley trace,0.3593479299685588,40,1039.718978102193,5.130577163376191,1.6416835370816261e-21
Roy's greatest root,0.281672006954074,20,573,8.06990299923422,7.445008989205457e-21
Wilks' lambda,0.723457397978175,40,1144.0,5.02478778806079,4.410518514458604e-21
Pillai's trace,0.2923505553272684,40.0,1146.0,4.904896280823876,2.2968423995328058e-20
Hotelling-Lawley trace,0.3604008327857995,40,1039.718978102193,5.145609945532088,1.3370428719335482e-21
Roy's greatest root,0.28326168218523007,20,573,8.11544719460684,5.426144334921793e-21
Wilks' lambda,0.7456843815643527,40,1144.0,4.5198613257379385,4.625799432697379e-18
Pillai's trace,0.26906378050514507,40.0,1146.0,4.453472765000004,1.140567140082882e-17
Hotelling-Lawley trace,0.321271924542079,40,1039.718978102193,4.586948363480843,2.6687528093430284e-18
Roy's greatest root,0.23826257124324768,20,573,6.826222666119046,4.459127331510414e-17
Wilks' lambda,0.729470642736965,40,1144.0,4.88591140293353,3.00810882093809e-20
Pillai's trace,0.2869362634877042,40.0,1146.0,4.798843016582483,9.928316518703076e-20
Hotelling-Lawley trace,0.3483655628482885,40,1039.718978102193,4.97377681127175,1.3937494107578753e-20
Roy's greatest root,0.2627723839675029,20,573,7.528428800668958,3.241168320402272e-19
Wilks' lambda,0.7237645827671655,40,1144.0,5.017651407117557,4.8683465395548974e-21
Pillai's trace,0.29542660152747885,40.0,1146.0,4.9654489160436786,9.94494751354765e-21
Hotelling-Lawley trace,0.355148951825515,40,1039.718978102193,5.070626403754169,3.720909575315646e-21
Roy's greatest root,0.24840463858984863,20,573,7.116792895599163,5.7911097580877804e-18
Wilks' lambda,0.7466691215471872,40,1144.0,4.498014157312839,6.238937474862076e-18
Pillai's trace,0.2662956352384233,40.0,1146.0,4.400617605084035,2.348554334677644e-17
Hotelling-Lawley trace,0.32191785454999833,40,1039.718978102193,4.596170605968953,2.355573429651589e-18
Roy's greatest root,0.25339441723798817,20,573,7.259750053868361,2.125155460327474e-18
Wilks' lambda,0.7306985813367253,40,1144.0,4.857763043469145,4.436618032877496e-20
Pillai's trace,0.2870494185030518,40.0,1146.0,4.8010525983332855,9.630374853457853e-20
Hotelling-Lawley trace,0.3442642770200963,40,1039.718978102193,4.915220850166193,3.0944788605574237e-20
Roy's greatest root,0.24521009866833574,20,573,7.025269326847819,1.1009600155000329e-17
Wilks' lambda,0.7070466416207555,40,1144.0,5.412769916097924,2.0258951325538496e-23
Pillai's trace,0.3154974084746631,40.0,1146.0,5.365976163096416,3.846673447825938e-23
Hotelling-Lawley trace,0.3824490385301451,40,1039.718978102193,5.46040241113849,1.8058760829169565e-23
Roy's greatest root,0.25964968687897727,20,573,7.438963529082699,6.05907875362089e-19
Wilks' lambda,0.7542311842371286,40,1144.0,4.331672729251112,6.049036397242781e-17
Pillai's trace,0.2569588097655499,40.0,1146.0,4.223577699155111,2.616491102109201e-16
Hotelling-Lawley trace,0.31101713461696584,40,1039.718978102193,4.440535968647766,1.9293428040928345e-17
Roy's greatest root,0.25218649971956236,20,573,7.225143216965462,2.708533735376467e-18
Wilks' lambda,0.7225701003477953,40,1144.0,5.045426644357981,3.3144981193362425e-21
Pillai's trace,0.29584161576246915,40.0,1146.0,4.973635297042525,8.88029097586136e-21
Hotelling-Lawley trace,0.3584678959415383,40,1039.718978102193,5.118012509163711,1.9488864201408857e-21
Roy's greatest root,0.26074429260231385,20,573,7.470323983056292,4.865611073385332e-19
Wilks' lambda,0.7592623579793698,40,1144.0,4.222382210541007,2.673555625094364e-16
Pillai's trace,0.25380418240743047,40.0,1146.0,4.164189235086978,5.854512399936516e-16
