Dataset,model,sampling,representation,accuracy,recall,precision,f1,roc_auc_ovr,mcc,fit_time,score_time
Validation,LGBM,Over,pc_KLEP840101_LGBM_42_metrics,0.5456944846904279,0.5456944846904279,0.5368884558405492,0.5213462938567444,0.7137324228052356,0.33132957266088814,0.18321411609649652,0.013766288757324168
Validation,LGBM,Over,pc_ROBB760113_LGBM_42_metrics,0.5899908239157732,0.5899908239157732,0.5863583006113033,0.5854808306800454,0.7762351445228044,0.3869330462729648,2.7930073022842405,0.02497520446777339
Validation,LGBM,Under,embedding_protT5_LGBM_42_metrics,0.33502824858757063,0.33502824858757063,0.3313170499452637,0.32886721782767153,0.5079779577147998,0.0031945707125220096,1.5918898105621337,0.007858610153198189
Validation,LGBM,Under,fft_FASG760101_LGBM_42_metrics,0.3367231638418079,0.3367231638418079,0.33527502779376106,0.33371444095592573,0.5089257759784076,0.0058925806843726685,0.12555527687072748,0.01293389797210688
Validation,LGBM,Under,fft_FAUJ880111_LGBM_42_metrics,0.4611581920903955,0.4611581920903955,0.45564473710106873,0.44167751320523296,0.6141458052181736,0.19859827597437935,0.6021335363388062,0.01453464031219478
Validation,LGBM,Under,fft_FAUJ880112_LGBM_42_metrics,0.3853672316384181,0.3853672316384181,0.3703950394718323,0.36190227654604107,0.5700204678362573,0.07561684826959356,0.546899390220642,0.014340209960937461
Validation,LGBM,Under,fft_GEIM800101_LGBM_42_metrics,0.33347457627118643,0.33347457627118643,0.3337049805247795,0.32954959339542467,0.5045757984705354,0.00021089545715551015,0.13309972286224364,0.01305792331695552
Validation,LGBM,Under,fft_GEIM800105_LGBM_42_metrics,0.35197740112994347,0.35197740112994347,0.35340659883369907,0.35057200056199206,0.5379155420602789,0.028447430340089307,1.066496443748474,0.02376308441162104
Validation,LGBM,Under,fft_JOND750101_LGBM_42_metrics,0.32166666666666666,0.32166666666666666,0.31947620405413146,0.31755337026274033,0.49741756635177686,-0.017494355794560067,1.0746156692504882,0.02031526565551753
Validation,LGBM,Under,fft_KLEP840101_LGBM_42_metrics,0.4225988700564972,0.4225988700564972,0.41909088748388984,0.414040140137158,0.5756031826360773,0.13601026064873528,0.09732472896575924,0.01239757537841792
Validation,LGBM,Under,fft_ROBB760113_LGBM_42_metrics,0.2860734463276836,0.2860734463276836,0.2833292432264777,0.28297448985836815,0.4768170827710301,-0.07150510341066933,1.2148542404174805,0.02798690795898433
Validation,LGBM,Under,fft_ZIMJ680104_LGBM_42_metrics,0.33677966101694917,0.33677966101694917,0.33930496190032333,0.33525871699482335,0.5431223571749888,0.005476396413386392,0.7875688076019287,0.021515059471130322
Validation,LGBM,Under,pc_FASG760101_LGBM_42_metrics,0.4730508474576271,0.4730508474576271,0.47053891107399914,0.46930829865212875,0.7021521592442646,0.21114471102098692,0.11653985977172845,0.01339230537414544
Validation,LGBM,Under,pc_FAUJ880111_LGBM_42_metrics,0.4611581920903955,0.4611581920903955,0.4580050352358017,0.4400944590900894,0.6014175101214575,0.19932305947625564,0.9497782945632934,0.02381699085235591
Validation,LGBM,Under,pc_GEIM800101_LGBM_42_metrics,0.47483050847457625,0.47483050847457625,0.47082246230412717,0.4695267288285668,0.7100187246963563,0.21446243884542912,0.12620820999145504,0.013091039657592729
Validation,LGBM,Under,pc_GEIM800105_LGBM_42_metrics,0.47813559322033894,0.47813559322033894,0.475442512640039,0.473087523393772,0.7229869545659019,0.2196379787707386,1.5575126886367798,0.01726756095886226
Validation,LGBM,Under,pc_JOND750101_LGBM_42_metrics,0.4881920903954803,0.4881920903954803,0.4886252743193819,0.48502403428766494,0.7083570062977957,0.23448311095408764,1.4231714248657226,0.017098259925842248
Validation,LGBM,Under,pc_KLEP840101_LGBM_42_metrics,0.44443502824858755,0.44443502824858755,0.43859137323481967,0.4335438123092087,0.6341815677013045,0.16994936966353466,0.08893053531646725,0.012743282318115159
Validation,LGBM,Under,pc_ROBB760113_LGBM_42_metrics,0.41762711864406776,0.41762711864406776,0.41946675309817516,0.41431975460231946,0.6269702541610436,0.12862623736384288,1.2163368940353394,0.017586016654968208
Validation,LogisticRegression,Original,embedding_protT5_LogisticRegression_42_metrics,0.43493523016423774,0.43493523016423774,0.40430691944707686,0.41254141992458226,0.5591287076032508,0.00797437637108214,0.06148493289947506,0.01453051567077632
Validation,LogisticRegression,Original,fft_FASG760101_LogisticRegression_42_metrics,0.5285507749248207,0.5285507749248207,0.49809108106871874,0.4744184039017452,0.6081685595651086,0.12952273276724077,0.025322222709655718,0.008867621421813911
Validation,LogisticRegression,Original,fft_FAUJ880111_LogisticRegression_42_metrics,0.5118725422160536,0.5118725422160536,0.41526351740292816,0.44404351363178113,0.6092269226263546,0.08833468086372769,0.02636992931365963,0.00946378707885737
